"CD_MUN";"NM_MUN";"V06001";"V06002";"V06003";"V06004";"V06005";"V06006"
"1100015";"Alta Floresta D'Oeste";"7668";"21331";"1,72";"2565,13";"17456222,43";"1500"
"1100023";"Ariquemes";"34760";"96139";"1,85";"2668,81";"11560167,11";"1800"
"1100031";"Cabixi";"1963";"5335";"1,55";"2399,26";"12624574,02";"1500"
"1100049";"Cacoal";"31892";"86355";"1,77";"3005,21";"856379165,05";"1849.5"
"1100056";"Cerejeiras";"5871";"15792";"1,55";"2548,40";"11251071,63";"1700"
"1100064";"Colorado do Oeste";"5991";"15663";"1,52";"2637,32";"8497127,84";"1800"
"1100072";"Corumbiara";"2835";"7487";"1,56";"2337,06";"3922754,67";"2000"
"1100080";"Costa Marques";"4158";"12518";"2,42";"2236,32";"8437580,47";"1300"
"1100098";"Espigão D'Oeste";"10446";"29221";"1,74";"2296,55";"5508589,75";"1600"
"1100106";"Guajará-Mirim";"11752";"38723";"3,49";"2333,89";"103411953,14";"1212"
"1100114";"Jaru";"18947";"50354";"1,61";"2565,57";"12134780,57";"1700"
"1100122";"Ji-Paraná";"44996";"123629";"1,80";"2680,66";"10701142,14";"1800"
"1100130";"Machadinho D'Oeste";"10832";"30407";"1,92";"1960,76";"5754762,33";"1212"
"1100148";"Nova Brasilândia D'Oeste";"5798";"15674";"1,44";"1982,75";"6935437,52";"1212"
"1100155";"Ouro Preto do Oeste";"13318";"34819";"1,63";"2625,58";"88737950,64";"1800"
"1100189";"Pimenta Bueno";"12341";"34714";"1,79";"2420,16";"7524897,44";"1700"
"1100205";"Porto Velho";"151886";"457020";"2,42";"3171,37";"114979380,71";"1800"
"1100254";"Presidente Médici";"7230";"19274";"1,61";"2080,49";"4203706,35";"1300"
"1100262";"Rio Crespo";"1249";"3454";"1,81";"2264,07";"7930008,90";"1500"
"1100288";"Rolim de Moura";"20991";"56137";"1,62";"2644,49";"12800596,91";"1800"
"1100296";"Santa Luzia D'Oeste";"2758";"7391";"1,46";"2176,88";"7668492,78";"1500"
"1100304";"Vilhena";"34951";"95230";"1,85";"3092,12";"180552792,84";"2000"
"1100320";"São Miguel do Guaporé";"7872";"21486";"1,51";"2319,43";"7707196,55";"1500"
"1100338";"Nova Mamoré";"8421";"25238";"2,16";"2277,76";"8319418,12";"1500"
"1100346";"Alvorada D'Oeste";"4812";"13100";"1,61";"2240,43";"6330541,19";"1500"
"1100379";"Alto Alegre dos Parecis";"4033";"11447";"1,60";"2156,61";"9604929,63";"1500"
"1100403";"Alto Paraíso";"5762";"16289";"1,86";"2133,54";"4352479,60";"1500"
"1100452";"Buritis";"9905";"27827";"1,67";"2252,99";"5673798,76";"1500"
"1100502";"Novo Horizonte do Oeste";"2798";"7663";"1,46";"1982,77";"4596954,18";"1250"
"1100601";"Cacaulândia";"1483";"4145";"1,72";"2380,53";"12002957,04";"1600"
"1100700";"Campo Novo de Rondônia";"3062";"8812";"1,58";"2313,55";"7850139,68";"1500"
"1100809";"Candeias do Jamari";"7428";"22276";"2,33";"1842,53";"6044448,93";"1212"
"1100908";"Castanheiras";"1198";"3229";"1,55";"2172,51";"7730749,55";"1213.5"
"1100924";"Chupinguaia";"3198";"9245";"1,83";"2544,10";"10904458,22";"2000"
"1100940";"Cujubim";"5197";"14803";"1,93";"2224,89";"6025841,07";"1590"
"1101005";"Governador Jorge Teixeira";"2881";"7941";"1,62";"2169,96";"4607040,97";"1500"
"1101104";"Itapuã do Oeste";"2909";"8541";"2,22";"2108,13";"3477744,09";"1500"
"1101203";"Ministro Andreazza";"2383";"6466";"1,53";"2297,85";"13179171,30";"1220"
"1101302";"Mirante da Serra";"3508";"9235";"1,75";"2155,23";"9235228,87";"1212"
"1101401";"Monte Negro";"4223";"11516";"1,63";"2133,54";"5484180,11";"1214"
"1101435";"Nova União";"2230";"6180";"1,58";"2040,53";"7209764,46";"1212"
"1101450";"Parecis";"1479";"4066";"1,58";"2214,03";"5704136,43";"1500"
"1101468";"Pimenteiras do Oeste";"735";"2091";"1,98";"2047,90";"2656467,67";"1500"
"1101476";"Primavera de Rondônia";"1133";"3076";"1,54";"2168,36";"4871561,35";"1500"
"1101484";"São Felipe D'Oeste";"1962";"5256";"1,39";"2260,94";"8522399,32";"1500"
"1101492";"São Francisco do Guaporé";"5784";"16175";"1,79";"2366,40";"8544723,13";"1500"
"1101500";"Seringueiras";"3946";"11145";"1,71";"2339,47";"11733188,27";"1400"
"1101559";"Teixeirópolis";"1582";"4256";"1,50";"2254,11";"8305703,49";"1220"
"1101609";"Theobroma";"3007";"8112";"1,53";"2039,45";"8044395,99";"1212"
"1101708";"Urupá";"3950";"10722";"1,50";"2646,32";"288161446,00";"1400"
"1101757";"Vale do Anari";"2800";"7717";"1,64";"2069,15";"5027417,20";"1400"
"1101807";"Vale do Paraíso";"2446";"6473";"1,46";"2164,99";"5533114,01";"1240"
"1200013";"Acrelândia";"4461";"13978";"2,56";"1758,13";"5268462,21";"1212"
"1200054";"Assis Brasil";"2408";"7984";"2,93";"1741,21";"3674519,97";"1212"
"1200104";"Brasiléia";"8665";"25931";"2,31";"1833,34";"7871282,90";"1212"
"1200138";"Bujari";"4193";"12917";"2,73";"1581,48";"8198218,28";"1200"
"1200179";"Capixaba";"3468";"10370";"2,54";"1477,28";"2880956,10";"1212"
"1200203";"Cruzeiro do Sul";"26719";"91076";"2,97";"2107,67";"194953486,34";"1212"
"1200252";"Epitaciolândia";"6477";"18739";"2,34";"1959,34";"16866080,18";"1212"
"1200302";"Feijó";"9288";"34916";"4,36";"1475,61";"3286003,95";"1200"
"1200328";"Jordão";"1949";"8834";"7,77";"1514,34";"6922280,22";"1200"
"1200336";"Mâncio Lima";"5659";"19149";"3,04";"1401,15";"4763638,48";"1200"
"1200344";"Manoel Urbano";"3238";"11963";"4,66";"1471,43";"5199339,83";"1200"
"1200351";"Marechal Thaumaturgo";"4301";"16986";"4,38";"1131,29";"2612772,52";"900"
"1200385";"Plácido de Castro";"5552";"16540";"2,47";"1794,51";"19470627,53";"1212"
"1200393";"Porto Walter";"2589";"10623";"4,44";"1308,89";"3204477,40";"1200"
"1200401";"Rio Branco";"123856";"361854";"2,31";"2754,43";"29011116,09";"1300"
"1200427";"Rodrigues Alves";"4193";"14909";"3,26";"1331,77";"3434730,82";"1001"
"1200435";"Santa Rosa do Purus";"1310";"6506";"9,52";"1478,17";"2062469,51";"1212"
"1200450";"Senador Guiomard";"6961";"20993";"2,42";"1807,74";"7149202,94";"1212"
"1200500";"Sena Madureira";"12586";"40697";"3,03";"1665,26";"5760280,77";"1200"
"1200609";"Tarauacá";"11219";"42558";"4,29";"1434,53";"3823655,38";"1200"
"1200708";"Xapuri";"6086";"18219";"2,41";"1670,36";"3965289,53";"1212"
"1200807";"Porto Acre";"5448";"16676";"2,53";"1470,59";"4351795,41";"1200"
"1300029";"Alvarães";"3386";"15764";"5,90";"1218,21";"2559705,76";"1100"
"1300060";"Amaturá";"2132";"10675";"7,26";"1491,82";"8742492,51";"1200"
"1300086";"Anamã";"2312";"9922";"5,09";"1204,10";"3359337,63";"1000"
"1300102";"Anori";"4129";"17042";"4,85";"1349,18";"2369057,46";"1200"
"1300144";"Apuí";"5779";"20492";"8,04";"2036,22";"8474955,09";"1242"
"1300201";"Atalaia do Norte";"3345";"14928";"6,65";"1559,08";"34914340,68";"1200"
"1300300";"Autazes";"10839";"40770";"4,40";"1465,17";"100844051,79";"1200"
"1300409";"Barcelos";"4137";"17919";"7,10";"1557,54";"3706851,61";"1200"
"1300508";"Barreirinha";"6781";"30365";"6,05";"1250,83";"2890977,37";"1184.5"
"1300607";"Benjamin Constant";"7731";"37474";"7,70";"1845,14";"1276618234,48";"1200"
"1300631";"Beruri";"4513";"20432";"6,05";"1194,39";"4162662,87";"700"
"1300680";"Boa Vista do Ramos";"4587";"23732";"5,74";"1203,08";"1443355,60";"1200"
"1300706";"Boca do Acre";"10067";"34945";"3,47";"1469,62";"4479825,65";"1200"
"1300805";"Borba";"7861";"32356";"5,28";"1359,15";"3889840,33";"1200"
"1300839";"Caapiranga";"2964";"13356";"6,96";"1208,27";"1588645,11";"1200"
"1300904";"Canutama";"4516";"16716";"4,50";"1242,40";"4464351,03";"1200"
"1301001";"Carauari";"7230";"28627";"4,08";"1348,97";"5567759,31";"1100"
"1301100";"Careiro";"9045";"30641";"3,63";"1366,79";"2563009,44";"1200"
"1301159";"Careiro da Várzea";"5757";"19499";"3,14";"1216,73";"4043252,49";"1200"
"1301209";"Coari";"17528";"70303";"4,85";"1886,17";"2551658184,78";"1200"
"1301308";"Codajás";"5568";"23468";"5,29";"1344,84";"2685772,19";"1200"
"1301407";"Eirunepé";"8086";"32848";"4,95";"1450,30";"10981999,01";"1200"
"1301506";"Envira";"4160";"16998";"4,73";"1412,73";"8820322,74";"1200"
"1301605";"Fonte Boa";"5305";"25505";"7,20";"1342,94";"2099144,54";"1200"
"1301654";"Guajará";"3611";"13790";"3,92";"1198,27";"2608569,07";"1000"
"1301704";"Humaitá";"14316";"56836";"6,01";"1882,08";"8424370,96";"1212"
"1301803";"Ipixuna";"4789";"23946";"6,28";"1175,57";"1578790,95";"1000"
"1301852";"Iranduba";"17751";"60874";"3,62";"1637,47";"19484845,16";"1200"
"1301902";"Itacoatiara";"27619";"103032";"4,84";"1679,45";"6031597,50";"1212"
"1301951";"Itamarati";"2307";"10736";"6,33";"1589,46";"36015036,60";"1200"
"1302009";"Itapiranga";"2599";"10107";"4,47";"1580,22";"3887874,25";"1212"
"1302108";"Japurá";"1723";"8710";"8,08";"1929,62";"8648790,27";"1200"
"1302207";"Juruá";"2515";"10659";"5,24";"1774,51";"629714180,90";"1000"
"1302306";"Jutaí";"4803";"24716";"8,82";"1476,06";"7731932,94";"1200"
"1302405";"Lábrea";"11170";"44882";"5,52";"1357,40";"3186084,67";"1200"
"1302504";"Manacapuru";"26864";"101580";"4,14";"1465,03";"4938731,77";"1200"
"1302553";"Manaquiri";"4877";"16773";"3,74";"1130,66";"1715264,72";"1000"
"1302603";"Manaus";"630012";"2058347";"3,20";"2853,44";"108751070,01";"1300"
"1302702";"Manicoré";"12081";"53374";"9,54";"2189,02";"2363994679,18";"1200"
"1302801";"Maraã";"3000";"15270";"8,38";"1306,96";"4675475,22";"1100"
"1302900";"Maués";"13242";"60781";"7,67";"1268,57";"2197448,42";"1200"
"1303007";"Nhamundá";"4548";"19904";"6,07";"1359,34";"4207553,34";"1200"
"1303106";"Nova Olinda do Norte";"6467";"26871";"5,46";"1242,16";"2805142,78";"1001"
"1303205";"Novo Airão";"4129";"15493";"4,63";"1545,68";"3662490,90";"1212"
"1303304";"Novo Aripuanã";"4742";"23537";"11,63";"1484,02";"8539766,95";"1200"
"1303403";"Parintins";"23896";"96034";"5,01";"1638,91";"6596211,04";"1200"
"1303502";"Pauini";"3871";"18793";"10,41";"1359,00";"2325360,10";"1200"
"1303536";"Presidente Figueiredo";"9354";"30484";"3,26";"1919,25";"8104126,20";"1212"
"1303569";"Rio Preto da Eva";"7791";"24825";"3,50";"1909,35";"607897970,48";"1212"
"1303601";"Santa Isabel do Rio Negro";"2663";"13795";"9,09";"1500,28";"5026821,54";"1200"
"1303700";"Santo Antônio do Içá";"5172";"27665";"8,79";"1337,71";"13345420,21";"1200"
"1303809";"São Gabriel da Cachoeira";"10030";"48352";"6,74";"1678,00";"4530835,62";"1200"
"1303908";"São Paulo de Olivença";"5954";"32661";"8,38";"1352,01";"53893093,86";"1100"
"1303957";"São Sebastião do Uatumã";"2662";"11532";"6,37";"1579,83";"5393229,86";"1200"
"1304005";"Silves";"2820";"11510";"5,52";"1271,60";"2403585,03";"1000"
"1304062";"Tabatinga";"13821";"66353";"8,16";"1917,71";"511278586,31";"1200"
"1304104";"Tapauá";"4736";"19157";"4,54";"1235,08";"4295463,43";"1200"
"1304203";"Tefé";"17447";"73474";"5,71";"1823,43";"151503917,39";"1200"
"1304237";"Tonantins";"3348";"19023";"11,49";"1259,20";"7567823,62";"1000"
"1304260";"Uarini";"3042";"14191";"6,66";"1146,93";"1695177,58";"1000"
"1304302";"Urucará";"4267";"18500";"7,54";"1468,86";"6463558,12";"1200"
"1304401";"Urucurituba";"5202";"23539";"8,26";"1450,54";"3065086,22";"1212"
"1400027";"Amajari";"2928";"13178";"10,86";"1619,49";"4004298,91";"1200"
"1400050";"Alto Alegre";"4899";"19904";"7,90";"1664,96";"3556688,58";"1200"
"1400100";"Boa Vista";"118980";"402925";"3,54";"3025,65";"55793428,82";"1500"
"1400159";"Bonfim";"3494";"13844";"5,85";"1487,94";"3194104,77";"1200"
"1400175";"Cantá";"5428";"18556";"4,62";"1817,28";"6164817,66";"1200"
"1400209";"Caracaraí";"6063";"20759";"3,94";"1881,49";"187889943,96";"1212"
"1400233";"Caroebe";"3109";"10412";"3,20";"1731,19";"3379267,94";"1212"
"1400282";"Iracema";"2853";"9568";"4,12";"1665,94";"3847746,04";"1200"
"1400308";"Mucajaí";"5317";"17821";"3,48";"1734,19";"7124327,94";"1212"
"1400407";"Normandia";"2671";"13628";"7,53";"1556,67";"5478523,07";"1212"
"1400456";"Pacaraima";"3939";"17241";"7,35";"1256,60";"544988,45";"1200"
"1400472";"Rorainópolis";"10029";"32380";"3,13";"1850,54";"7750588,23";"1212"
"1400506";"São João da Baliza";"2600";"8685";"3,35";"1890,57";"5758915,74";"1212"
"1400605";"São Luiz";"2260";"7127";"2,97";"1730,49";"4510753,08";"1212"
"1400704";"Uiramutã";"2279";"13287";"9,16";"1088,38";"818864,73";"900"
"1500107";"Abaetetuba";"43021";"157707";"3,35";"1466,66";"5626639,62";"1200"
"1500131";"Abel Figueiredo";"2000";"6125";"2,58";"1708,49";"3650888,67";"1212"
"1500206";"Acará";"16797";"57928";"3,29";"1138,37";"1448393,76";"1000"
"1500305";"Afuá";"9038";"37658";"4,68";"1277,27";"1879882,18";"1200"
"1500347";"Água Azul do Norte";"5615";"17955";"2,32";"2105,10";"9677428,00";"1300"
"1500404";"Alenquer";"17904";"69241";"4,49";"1279,34";"2443393,00";"1200"
"1500503";"Almeirim";"9091";"34064";"4,29";"1854,00";"12342867,67";"1212"
"1500602";"Altamira";"41152";"125671";"2,47";"2347,59";"14631805,54";"1240"
"1500701";"Anajás";"6369";"27905";"5,42";"1199,94";"2931337,87";"800"
"1500800";"Ananindeua";"154877";"477332";"2,29";"2433,07";"73913432,26";"1300"
"1500859";"Anapu";"9326";"31499";"2,90";"1674,53";"10506170,74";"1212"
"1500909";"Augusto Corrêa";"12354";"44483";"3,47";"1006,24";"1411359,08";"700"
"1500958";"Aurora do Pará";"6641";"23609";"3,63";"1267,59";"2011402,50";"1200"
"1501006";"Aveiro";"4621";"18055";"5,32";"1258,42";"1946967,54";"1200"
"1501105";"Bagre";"5691";"31369";"7,40";"1242,88";"1888691,88";"1100"
"1501204";"Baião";"12111";"51078";"5,95";"1320,30";"2307917,12";"1200"
"1501253";"Bannach";"1322";"3988";"2,70";"2225,18";"18965038,10";"1500"
"1501303";"Barcarena";"37980";"126452";"2,68";"1987,88";"8032172,85";"1212"
"1501402";"Belém";"422966";"1301333";"2,64";"3302,83";"187407168,18";"1300"
"1501451";"Belterra";"5333";"17968";"3,07";"1545,19";"3797287,71";"1212"
"1501501";"Benevides";"20485";"63346";"2,43";"1639,63";"132599338,38";"1212"
"1501576";"Bom Jesus do Tocantins";"5087";"17851";"3,70";"1700,42";"4923954,86";"1212"
"1501600";"Bonito";"4214";"12602";"2,23";"1302,21";"10839629,32";"1212"
"1501709";"Bragança";"37060";"122802";"2,79";"1536,24";"5270926,12";"1200"
"1501725";"Brasil Novo";"7189";"24592";"2,92";"1781,09";"8994973,36";"1212"
"1501758";"Brejo Grande do Araguaia";"2128";"6767";"2,50";"1652,56";"5863030,54";"1212"
"1501782";"Breu Branco";"13531";"45626";"3,56";"1434,87";"3565571,92";"1212"
"1501808";"Breves";"24356";"106633";"5,76";"1528,28";"3711790,67";"1200"
"1501907";"Bujaru";"7095";"24309";"3,20";"1124,61";"1220818,50";"1000"
"1501956";"Cachoeira do Piriá";"5620";"19578";"3,20";"1137,35";"3339622,06";"800"
"1502004";"Cachoeira do Arari";"6549";"23940";"3,75";"1066,42";"2071519,35";"900"
"1502103";"Cametá";"33279";"133727";"4,13";"1270,51";"2948964,98";"1000"
"1502152";"Canaã dos Carajás";"24367";"76817";"2,33";"2745,82";"10312200,94";"2000"
"1502202";"Capanema";"23057";"70216";"2,19";"1831,78";"7083105,41";"1212"
"1502301";"Capitão Poço";"18207";"56439";"2,18";"1314,54";"4086230,01";"1200"
"1502400";"Castanhal";"63760";"191639";"2,01";"2168,07";"600900593,26";"1212"
"1502509";"Chaves";"4744";"20682";"4,96";"1190,76";"2306834,38";"1000"
"1502608";"Colares";"3992";"12844";"2,85";"1272,76";"3907662,10";"1200"
"1502707";"Conceição do Araguaia";"15172";"44534";"2,32";"1945,39";"6163504,26";"1212"
"1502756";"Concórdia do Pará";"7957";"26800";"3,01";"1394,72";"2611612,19";"1212"
"1502764";"Cumaru do Norte";"3617";"12817";"4,92";"2251,75";"9757548,29";"1500"
"1502772";"Curionópolis";"6416";"19942";"2,79";"1834,33";"8407381,51";"1212"
"1502806";"Curralinho";"8149";"33760";"4,28";"1089,17";"3402032,98";"600"
"1502855";"Curuá";"3903";"14105";"3,72";"1152,33";"2367527,35";"1000"
"1502905";"Curuçá";"12127";"41119";"3,30";"1241,71";"2141558,86";"1200"
"1502939";"Dom Eliseu";"15347";"58380";"4,73";"1804,78";"72808353,38";"1212"
"1502954";"Eldorado do Carajás";"8905";"28117";"2,77";"1733,48";"4221940,29";"1212"
"1503002";"Faro";"2090";"8678";"5,19";"1344,01";"3986772,57";"1200"
"1503044";"Floresta do Araguaia";"5986";"17887";"2,26";"1507,31";"2725667,45";"1200"
"1503077";"Garrafão do Norte";"7641";"24485";"2,35";"1123,67";"1625458,18";"900"
"1503093";"Goianésia do Pará";"8279";"26286";"2,52";"1613,03";"5124866,40";"1212"
"1503101";"Gurupá";"7365";"31644";"5,00";"1430,09";"5360687,43";"1200"
"1503200";"Igarapé-Açu";"11529";"35600";"2,25";"1392,43";"4349558,49";"1200"
"1503309";"Igarapé-Miri";"16925";"64706";"3,63";"1254,39";"3786937,58";"1200"
"1503408";"Inhangapi";"3213";"10313";"2,78";"1201,04";"1594508,29";"1212"
"1503457";"Ipixuna do Pará";"8750";"30172";"3,28";"1346,49";"3026821,53";"1200"
"1503507";"Irituia";"9558";"30925";"2,73";"1151,18";"2270082,55";"1000"
"1503606";"Itaituba";"36335";"121995";"3,25";"2036,93";"10114988,44";"1212"
"1503705";"Itupiranga";"13772";"49606";"3,77";"1504,31";"2699940,21";"1212"
"1503754";"Jacareacanga";"4923";"22885";"8,37";"2160,30";"21485283,67";"1212"
"1503804";"Jacundá";"12607";"37664";"2,19";"1850,46";"762450845,66";"1212"
"1503903";"Juruti";"12346";"50735";"4,96";"1687,92";"6246831,66";"1200"
"1504000";"Limoeiro do Ajuru";"7177";"29525";"3,54";"1171,70";"2377183,96";"700"
"1504059";"Mãe do Rio";"9890";"34288";"3,22";"1537,53";"3835647,85";"1200"
"1504109";"Magalhães Barata";"2490";"8062";"3,00";"1939,37";"900808308,30";"1212"
"1504208";"Marabá";"86017";"265584";"2,51";"2450,68";"387043598,86";"1300"
"1504307";"Maracanã";"7716";"25856";"3,26";"1246,57";"1812489,22";"1200"
"1504406";"Marapanim";"8370";"26483";"3,03";"1257,36";"3120299,12";"1200"
"1504422";"Marituba";"35861";"110531";"2,34";"1736,57";"57813552,64";"1212"
"1504455";"Medicilândia";"8955";"27027";"2,25";"1498,52";"4484600,39";"1200"
"1504505";"Melgaço";"5715";"27714";"6,32";"1223,47";"2704672,28";"800"
"1504604";"Mocajuba";"6830";"26999";"4,27";"1314,99";"3417293,37";"1200"
"1504703";"Moju";"24996";"83824";"3,55";"1342,60";"73507803,33";"1200"
"1504752";"Mojuí dos Campos";"7478";"23482";"2,38";"1342,36";"1729112,90";"1212"
"1504802";"Monte Alegre";"18312";"59929";"2,73";"1386,19";"3685474,04";"1200"
"1504901";"Muaná";"10636";"45181";"4,48";"1132,80";"2235605,77";"1000"
"1504950";"Nova Esperança do Piriá";"6024";"20434";"2,81";"1064,92";"2007761,55";"700"
"1504976";"Nova Ipixuna";"4571";"13903";"2,75";"1752,39";"4044885,50";"1212"
"1505007";"Nova Timboteua";"4560";"12772";"2,01";"1233,46";"1859777,38";"1200"
"1505031";"Novo Progresso";"10445";"33451";"2,96";"2840,59";"8120034,98";"2000"
"1505064";"Novo Repartimento";"18520";"60553";"2,72";"1665,73";"63813015,26";"1212"
"1505106";"Óbidos";"14487";"51728";"3,82";"1274,82";"3816513,07";"1200"
"1505205";"Oeiras do Pará";"8083";"33651";"4,93";"1154,37";"2842952,28";"800"
"1505304";"Oriximiná";"17860";"67671";"4,13";"1689,58";"8574430,92";"1200"
"1505403";"Ourém";"5754";"17826";"2,38";"1196,36";"2292778,58";"1000"
"1505437";"Ourilândia do Norte";"10335";"32170";"2,72";"1932,77";"6323637,32";"1212"
"1505486";"Pacajá";"12472";"41039";"2,88";"1643,62";"5348467,53";"1212"
"1505494";"Palestina do Pará";"2200";"6884";"2,75";"1543,49";"3243450,67";"1212"
"1505502";"Paragominas";"32964";"104908";"2,52";"2179,86";"18525289,11";"1216"
"1505536";"Parauapebas";"87649";"267180";"2,28";"2743,59";"64861640,11";"1800"
"1505551";"Pau D'Arco";"2223";"6895";"3,93";"1505,13";"7489384,02";"1212"
"1505601";"Peixe-Boi";"2947";"8280";"2,15";"1405,62";"38584327,17";"1200"
"1505635";"Piçarra";"4072";"12822";"2,47";"1880,11";"4065999,25";"1212"
"1505650";"Placas";"5874";"18629";"2,49";"1653,75";"34150504,02";"1200"
"1505700";"Ponta de Pedras";"7068";"24868";"3,29";"1363,58";"165118893,55";"1200"
"1505809";"Portel";"13283";"61894";"7,04";"1291,90";"2925120,17";"1170"
"1505908";"Porto de Moz";"9063";"40554";"6,80";"1248,93";"2930379,96";"1000"
"1506005";"Prainha";"9198";"35392";"3,96";"1143,70";"2668095,51";"900"
"1506104";"Primavera";"3528";"10818";"2,42";"1375,95";"4462226,39";"1200"
"1506112";"Quatipuru";"3649";"11520";"2,84";"1203,75";"2661330,50";"1000"
"1506138";"Redenção";"28019";"85129";"2,21";"2404,29";"11602909,04";"1300"
"1506161";"Rio Maria";"6501";"18364";"2,01";"1946,07";"7092536,76";"1212"
"1506187";"Rondon do Pará";"15285";"52884";"3,90";"1734,85";"5309973,20";"1212"
"1506195";"Rurópolis";"9079";"35625";"5,18";"1695,59";"6163645,89";"1212"
"1506203";"Salinópolis";"13482";"44544";"2,93";"1721,72";"5657920,28";"1212"
"1506302";"Salvaterra";"7382";"24009";"3,04";"1288,08";"3094671,83";"1200"
"1506351";"Santa Bárbara do Pará";"6801";"21063";"2,41";"1417,79";"3886609,24";"1212"
"1506401";"Santa Cruz do Arari";"1768";"7420";"8,02";"1194,46";"5659813,20";"1200"
"1506500";"Santa Izabel do Pará";"21487";"66473";"2,35";"1793,89";"94610393,18";"1212"
"1506559";"Santa Luzia do Pará";"6301";"20286";"2,66";"1222,41";"2403726,81";"1200"
"1506583";"Santa Maria das Barreiras";"5418";"16402";"2,46";"2068,76";"8240122,74";"1290"
"1506609";"Santa Maria do Pará";"8460";"24551";"1,97";"1411,69";"3949569,47";"1200"
"1506708";"Santana do Araguaia";"10534";"32271";"2,55";"2109,36";"8752434,00";"1212"
"1506807";"Santarém";"95542";"330146";"3,29";"2125,52";"22286386,25";"1212"
"1506906";"Santarém Novo";"1961";"6098";"2,84";"1378,84";"2420563,61";"1212"
"1507003";"Santo Antônio do Tauá";"8807";"27410";"2,45";"1361,49";"2369273,91";"1200"
"1507102";"São Caetano de Odivelas";"5158";"16591";"2,96";"1859,69";"1892116680,36";"1200"
"1507151";"São Domingos do Araguaia";"6797";"21043";"2,41";"1690,63";"4316043,05";"1212"
"1507201";"São Domingos do Capim";"8461";"30575";"3,57";"1085,63";"1914158,54";"800"
"1507300";"São Félix do Xingu";"20736";"64521";"2,72";"2029,55";"5982324,57";"1500"
"1507409";"São Francisco do Pará";"4949";"14882";"2,07";"1365,46";"2778541,62";"1212"
"1507458";"São Geraldo do Araguaia";"7711";"24153";"2,60";"1847,45";"7365391,32";"1212"
"1507466";"São João da Ponta";"1456";"4426";"2,92";"1114,56";"1656931,63";"1002"
"1507474";"São João de Pirabas";"6553";"20670";"2,85";"1207,59";"2743161,23";"1200"
"1507508";"São João do Araguaia";"4390";"13612";"3,09";"1484,76";"5195296,56";"1200"
"1507607";"São Miguel do Guamá";"16387";"52837";"2,57";"1446,29";"4240087,73";"1200"
"1507706";"São Sebastião da Boa Vista";"6560";"25539";"3,32";"1155,29";"1537511,05";"1000"
"1507755";"Sapucaia";"1776";"5812";"2,86";"1943,39";"56385374,69";"1212"
"1507805";"Senador José Porfírio";"6486";"22166";"3,46";"1448,51";"4138713,76";"1212"
"1507904";"Soure";"7079";"24168";"3,43";"1561,56";"5226665,95";"1212"
"1507953";"Tailândia";"21583";"72351";"3,36";"1771,28";"17981185,67";"1212"
"1507961";"Terra Alta";"3355";"10393";"2,48";"1271,43";"2089258,05";"1200"
"1507979";"Terra Santa";"4997";"18745";"3,99";"1621,00";"3771142,50";"1200"
"1508001";"Tomé-Açu";"19786";"67243";"3,01";"1542,35";"10525638,72";"1212"
"1508035";"Tracuateua";"8733";"28573";"2,74";"1089,80";"2547405,72";"710"
"1508050";"Trairão";"4684";"15201";"2,69";"1816,35";"4651659,56";"1212"
"1508084";"Tucumã";"12824";"39481";"2,17";"2231,65";"9630414,19";"1500"
"1508100";"Tucuruí";"27397";"90687";"2,98";"2224,34";"11998849,24";"1212"
"1508126";"Ulianópolis";"9695";"37838";"4,25";"1748,58";"6068442,20";"1250"
"1508159";"Uruará";"14233";"43375";"2,40";"1639,85";"4881321,34";"1212"
"1508209";"Vigia";"15790";"50774";"2,62";"1361,36";"3019516,06";"1200"
"1508308";"Viseu";"16232";"58599";"3,67";"1092,53";"1371859,10";"800"
"1508357";"Vitória do Xingu";"4902";"15550";"2,89";"1604,72";"3654821,98";"1212"
"1508407";"Xinguara";"17900";"52546";"2,13";"2205,81";"59095629,61";"1212"
"1600055";"Serra do Navio";"1364";"4631";"3,13";"2136,56";"5624584,27";"1500"
"1600105";"Amapá";"2054";"7908";"4,92";"1804,03";"7871419,01";"1212"
"1600154";"Pedra Branca do Amapari";"3201";"12180";"5,13";"1961,53";"7113211,99";"1224"
"1600204";"Calçoene";"2772";"10406";"4,67";"1725,26";"5217038,67";"1212"
"1600212";"Cutias";"1156";"4426";"4,84";"1408,53";"2577111,48";"1212"
"1600238";"Ferreira Gomes";"1795";"6645";"4,32";"1861,27";"10360049,71";"1212"
"1600253";"Itaubal";"1360";"5579";"5,17";"1454,60";"2149605,04";"1200"
"1600279";"Laranjal do Jari";"10319";"35006";"3,52";"1757,23";"9176867,03";"1212"
"1600303";"Macapá";"123465";"439820";"3,85";"2943,42";"20591671,37";"1300"
"1600402";"Mazagão";"5310";"21745";"4,80";"1597,29";"3922981,01";"1200"
"1600501";"Oiapoque";"7009";"26922";"4,94";"1977,73";"9099441,39";"1212"
"1600535";"Porto Grande";"5007";"17777";"3,82";"1723,36";"5201977,43";"1212"
"1600550";"Pracuúba";"913";"3800";"5,21";"1351,20";"2512325,51";"1212"
"1600600";"Santana";"28788";"107306";"3,98";"2149,24";"11499683,65";"1212"
"1600709";"Tartarugalzinho";"3315";"12871";"4,78";"1600,06";"9678464,88";"1200"
"1600808";"Vitória do Jari";"3006";"11244";"4,05";"1568,42";"9630100,62";"1200"
